episode,score
1,0.0
2,0.0
3,-1.0
4,-2.0
5,-2.0
6,0.0
7,0.0
8,0.0
9,0.0
10,-1.0
11,1.0
12,-1.0
13,1.0
14,0.0
15,1.0
16,0.0
17,0.0
18,2.0
19,0.0
20,2.0
21,-1.0
22,-1.0
23,1.0
24,-2.0
25,1.0
26,1.0
27,0.0
28,2.0
29,-1.0
30,-1.0
31,0.0
32,1.0
33,1.0
34,0.0
35,-2.0
36,2.0
37,-1.0
38,0.0
39,1.0
40,1.0
41,0.0
42,3.0
43,1.0
44,0.0
45,-1.0
46,1.0
47,2.0
48,1.0
49,0.0
50,3.0
51,-1.0
52,-1.0
53,0.0
54,0.0
55,-1.0
56,2.0
57,-2.0
58,3.0
59,-2.0
60,2.0
61,0.0
62,3.0
63,1.0
64,1.0
65,0.0
66,-1.0
67,1.0
68,1.0
69,3.0
70,-1.0
71,1.0
72,1.0
73,0.0
74,1.0
75,0.0
76,-2.0
77,1.0
78,2.0
79,-2.0
80,1.0
81,1.0
82,2.0
83,2.0
84,1.0
85,2.0
86,-2.0
87,0.0
88,3.0
89,-1.0
90,-1.0
91,2.0
92,1.0
93,1.0
94,1.0
95,2.0
96,1.0
97,1.0
98,-1.0
99,0.0
100,-1.0
101,5.0
102,1.0
103,2.0
104,0.0
105,1.0
106,1.0
107,1.0
108,4.0
109,-1.0
110,1.0
111,0.0
112,-1.0
113,1.0
114,0.0
115,2.0
116,2.0
117,0.0
118,0.0
119,0.0
120,4.0
121,-2.0
122,3.0
123,0.0
124,0.0
125,-3.0
126,1.0
127,4.0
128,0.0
129,-1.0
130,2.0
131,1.0
132,1.0
133,1.0
134,2.0
135,1.0
136,1.0
137,-2.0
138,2.0
139,-1.0
140,-1.0
141,5.0
142,-1.0
143,-2.0
144,2.0
145,4.0
146,2.0
147,0.0
148,-1.0
149,3.0
150,1.0
151,2.0
152,5.0
153,0.0
154,0.0
155,1.0
156,-1.0
157,0.0
158,0.0
159,-1.0
160,-1.0
161,3.0
162,0.0
163,4.0
164,2.0
165,3.0
166,1.0
167,1.0
168,1.0
169,3.0
170,0.0
171,3.0
172,-2.0
173,1.0
174,1.0
175,3.0
176,0.0
177,3.0
178,1.0
179,1.0
180,-1.0
181,-1.0
182,5.0
183,1.0
184,4.0
185,1.0
186,4.0
187,1.0
188,2.0
189,1.0
190,4.0
191,-4.0
192,5.0
193,0.0
194,4.0
195,4.0
196,2.0
197,2.0
198,0.0
199,6.0
200,3.0
201,0.0
202,0.0
203,-1.0
204,1.0
205,3.0
206,8.0
207,4.0
208,8.0
209,0.0
210,6.0
211,4.0
212,-1.0
213,2.0
214,3.0
215,5.0
216,3.0
217,2.0
218,5.0
219,1.0
220,3.0
221,-1.0
222,1.0
223,2.0
224,3.0
225,6.0
226,0.0
227,7.0
228,8.0
229,2.0
230,1.0
231,0.0
232,4.0
233,8.0
234,3.0
235,3.0
236,1.0
237,0.0
238,2.0
239,6.0
